期別,開獎日,頭獎,獎金總額,獎號,特別號
103000001,103/01/03,0,"80,736,067","11,18,20,21,35,37",08
103000002,103/01/07,0,"106,318,850","01,07,21,25,35,36",39
103000003,103/01/10,"100,000,000","149,849,635","07,17,19,30,32,37",03
103000004,103/01/14,0,"70,740,670","02,11,21,41,45,49",26
103000005,103/01/17,0,"108,354,326","13,15,20,26,29,36",37
103000006,103/01/21,0,"141,270,573","12,15,22,38,43,44",09
103000007,103/01/24,0,"172,467,560","01,04,20,29,41,45",36
103000008,103/01/28,"80,491,735","218,922,795","01,02,05,07,26,30",24
103000009,103/01/30,0,"334,931,355","09,22,44,45,48,49",08
103000010,103/01/31,0,"510,859,037","17,23,27,38,48,49",19
103000011,103/02/01,"224,819,074","668,825,176","06,09,13,19,36,37",27
103000012,103/02/02,"100,000,000","216,578,907","03,13,14,19,24,45",05
103000013,103/02/03,"50,000,000","201,322,534","01,02,16,17,27,30",48
103000014,103/02/04,0,"310,122,605","08,12,19,32,42,46",28
103000015,103/02/07,"242,618,662","330,079,044","05,11,12,21,22,28",25
103000016,103/02/11,0,"89,513,183","06,15,21,22,31,44",41
103000017,103/02/14,0,"113,928,909","10,19,20,24,33,48",01
103000018,103/02/18,0,"148,671,664","06,19,20,26,32,47",35
103000019,103/02/21,0,"187,760,475","11,12,23,28,40,48",09
103000020,103/02/25,"164,469,923","228,147,635","03,05,09,12,13,46",04
103000021,103/02/28,0,"63,905,765","13,17,18,24,28,32",37
103000022,103/03/04,"100,000,000","141,547,172","08,26,35,37,40,43",06
103000023,103/03/07,"100,000,000","137,113,949","06,18,26,30,37,38",16
103000024,103/03/11,"100,000,000","136,735,172","13,15,16,20,40,43",14
103000025,103/03/14,0,"62,708,882","02,08,27,40,41,47",28
103000026,103/03/18,0,"89,150,396","12,26,28,35,39,40",16
103000027,103/03/21,0,"112,358,847","08,18,26,31,46,47",20
103000028,103/03/25,0,"142,208,910","19,23,25,30,42,47",16
103000029,103/03/28,0,"165,636,331","09,18,23,35,36,47",41
103000030,103/04/01,"157,172,974","195,944,047","18,22,29,30,46,47",06
103000031,103/04/04,0,"62,761,237","08,24,35,37,41,47",23
103000032,103/04/08,0,"81,210,878","01,14,17,27,28,45",11
103000033,103/04/11,"100,000,000","137,646,174","01,03,04,09,12,17",15
103000034,103/04/15,"50,000,000","134,092,694","05,08,24,26,35,44",41
103000035,103/04/18,0,"60,388,963","08,09,15,40,44,48",24
103000036,103/04/22,"100,000,000","140,267,972","11,12,15,18,20,37",42
103000037,103/04/25,0,"55,342,540","04,24,34,35,38,46",30
103000038,103/04/29,0,"78,198,092","02,09,27,30,44,46",22
103000039,103/05/02,0,"102,103,594","01,07,23,25,37,40",12
103000040,103/05/06,0,"122,531,297","10,25,35,39,40,46",31
103000041,103/05/09,"57,837,022","152,984,028","01,11,13,21,27,37",03
103000042,103/05/13,0,"61,509,780","15,20,29,31,32,44",23
103000043,103/05/16,0,"88,320,931","14,31,38,41,42,45",29
103000044,103/05/20,0,"97,533,175","06,13,30,33,34,35",38
103000045,103/05/23,0,"121,297,042","11,17,22,27,30,46",15
103000046,103/05/27,0,"272,577,912","10,19,23,26,32,39",16
